url,rating,reviews,initial_price,final_price,currency,seller_name,seller_ratings,seller_ship_on_time,seller_chat_response,sku,mpn,returns_and_warranty,is_super_seller,brand,stock,shop_url,lazmall,domain,number_sold,gmv
https://www.lazada.vn/products/giay-nhua-di-mua-di-bien-nu-chat-lieu-nhua-sieu-nhe-em-chan-nhieu-mau-i2343621654-s11398308282.html,4.9,34,79000,45100,VND,HTSPORTS,0.97,100%,80%,2343621654_VNAMZ-11398308282,2343621654,"[""100% chính hãng"",""Được đổi ý"",""30 ngày miễn phí trả hàng"",""Không áp dụng chính sách bảo hành""]",TRUE,HT SPORTS,TRUE,https://www.lazada.vn/shop/htsports/?itemId=2343621654&channelSource=pdp,TRUE,https://www.lazada.vn,95,4284500
https://www.lazada.vn/products/giay-nhua-di-mua-di-bien-nu-chat-lieu-nhua-sieu-nhe-em-chan-nhieu-mau-i2343621654-s11398308286.html,4.9,34,79000,38665,VND,HTSPORTS,0.97,100%,80%,2343621654_VNAMZ-11398308286,2343621654,"[""100% chính hãng"",""Được đổi ý"",""30 ngày miễn phí trả hàng"",""Không áp dụng chính sách bảo hành""]",TRUE,HT SPORTS,TRUE,https://www.lazada.vn/shop/htsports/?itemId=2343621654&channelSource=pdp,TRUE,https://www.lazada.vn,95,3673175
https://www.lazada.vn/products/giay-the-thao-nam-dep-sneaker-nam-thoi-trang-cao-cap-giay-the-thao-nam-vien-4-soc-co-ban-de-apb-kieu-dang-moi-de-mem-em-chan-thoang-khi-lagado-i1525493681-s6407552637.html,4.6,16,175000,79000,VND,LAGADO - Giày Dép Hottrend Nữ,0.95,71%,100%,1525493681_VNAMZ-6407552637,1525493681,"[""100% Authentic"",""Change of Mind"",""30 Days Free Returns"",""Warranty not available""]",TRUE,LAGADO,TRUE,https://www.lazada.vn/shop/lagado-giay-dep-hottrend-nu/?itemId=1525493681&channelSource=pdp,TRUE,https://www.lazada.vn,109,8611000
https://www.lazada.vn/products/giay-the-thao-nam-dep-sneaker-nam-thoi-trang-cao-cap-giay-the-thao-nam-vien-4-soc-co-ban-de-apb-kieu-dang-moi-de-mem-em-chan-thoang-khi-lagado-i1525493681-s6407552643.html,4.6,16,175000,79000,VND,LAGADO - Giày Dép Hottrend Nữ,0.95,71%,100%,1525493681_VNAMZ-6407552643,1525493681,"[""100% Authentic"",""Change of Mind"",""30 Days Free Returns"",""Warranty not available""]",TRUE,LAGADO,TRUE,https://www.lazada.vn/shop/lagado-giay-dep-hottrend-nu/?itemId=1525493681&channelSource=pdp,TRUE,https://www.lazada.vn,109,8611000
https://www.lazada.vn/products/giay-nhua-di-mua-di-bien-nu-chat-lieu-nhua-sieu-nhe-em-chan-nhieu-mau-i2343621654-s11398308278.html,4.9,34,79000,45078,VND,HTSPORTS,0.97,100%,80%,2343621654_VNAMZ-11398308278,2343621654,"[""100% chính hãng"",""Được đổi ý"",""30 ngày miễn phí trả hàng"",""Không áp dụng chính sách bảo hành""]",TRUE,HT SPORTS,TRUE,https://www.lazada.vn/shop/htsports/?itemId=2343621654&channelSource=pdp,TRUE,https://www.lazada.vn,95,4282410
https://www.lazada.vn/products/giay-nhua-di-mua-di-bien-nu-chat-lieu-nhua-sieu-nhe-em-chan-nhieu-mau-i2343621654-s11398308283.html,4.9,34,79000,38665,VND,HTSPORTS,0.97,100%,80%,2343621654_VNAMZ-11398308283,2343621654,"[""100% chính hãng"",""Được đổi ý"",""30 ngày miễn phí trả hàng"",""Không áp dụng chính sách bảo hành""]",TRUE,HT SPORTS,TRUE,https://www.lazada.vn/shop/htsports/?itemId=2343621654&channelSource=pdp,TRUE,https://www.lazada.vn,95,3673175
https://www.lazada.vn/products/giay-nhua-di-mua-di-bien-nu-chat-lieu-nhua-sieu-nhe-em-chan-nhieu-mau-i2343621654-s11398308273.html,4.9,34,79000,45100,VND,HTSPORTS,0.97,100%,80%,2343621654_VNAMZ-11398308273,2343621654,"[""100% chính hãng"",""Được đổi ý"",""30 ngày miễn phí trả hàng"",""Không áp dụng chính sách bảo hành""]",TRUE,HT SPORTS,TRUE,https://www.lazada.vn/shop/htsports/?itemId=2343621654&channelSource=pdp,TRUE,https://www.lazada.vn,95,4284500
https://www.lazada.vn/products/giay-nhua-di-mua-di-bien-nu-chat-lieu-nhua-sieu-nhe-em-chan-nhieu-mau-i2343621654-s11398308279.html,4.9,34,79000,45100,VND,HTSPORTS,0.97,100%,80%,2343621654_VNAMZ-11398308279,2343621654,"[""100% chính hãng"",""Được đổi ý"",""30 ngày miễn phí trả hàng"",""Không áp dụng chính sách bảo hành""]",TRUE,HT SPORTS,TRUE,https://www.lazada.vn/shop/htsports/?itemId=2343621654&channelSource=pdp,TRUE,https://www.lazada.vn,95,4284500
https://www.lazada.vn/products/giay-the-thao-nam-dep-sneaker-nam-thoi-trang-cao-cap-giay-the-thao-nam-vien-4-soc-co-ban-de-apb-kieu-dang-moi-de-mem-em-chan-thoang-khi-lagado-i1525493681-s6407552640.html,4.6,16,175000,79000,VND,LAGADO - Giày Dép Hottrend Nữ,0.95,71%,100%,1525493681_VNAMZ-6407552640,1525493681,"[""100% Authentic"",""Change of Mind"",""30 Days Free Returns"",""Warranty not available""]",TRUE,LAGADO,TRUE,https://www.lazada.vn/shop/lagado-giay-dep-hottrend-nu/?itemId=1525493681&channelSource=pdp,TRUE,https://www.lazada.vn,109,8611000
https://www.lazada.vn/products/giay-the-thao-nam-dep-sneaker-nam-thoi-trang-cao-cap-giay-the-thao-nam-vien-4-soc-co-ban-de-apb-kieu-dang-moi-de-mem-em-chan-thoang-khi-lagado-i1525493681-s6407552642.html,4.6,16,175000,79000,VND,LAGADO - Giày Dép Hottrend Nữ,0.95,71%,100%,1525493681_VNAMZ-6407552642,1525493681,"[""100% Authentic"",""Change of Mind"",""30 Days Free Returns"",""Warranty not available""]",TRUE,LAGADO,TRUE,https://www.lazada.vn/shop/lagado-giay-dep-hottrend-nu/?itemId=1525493681&channelSource=pdp,TRUE,https://www.lazada.vn,109,8611000
https://www.lazada.vn/products/giay-nhua-di-mua-di-bien-nu-chat-lieu-nhua-sieu-nhe-em-chan-nhieu-mau-i2343621654-s11398308280.html,4.9,34,79000,38665,VND,HTSPORTS,0.97,100%,80%,2343621654_VNAMZ-11398308280,2343621654,"[""100% chính hãng"",""Được đổi ý"",""30 ngày miễn phí trả hàng"",""Không áp dụng chính sách bảo hành""]",TRUE,HT SPORTS,TRUE,https://www.lazada.vn/shop/htsports/?itemId=2343621654&channelSource=pdp,TRUE,https://www.lazada.vn,95,3673175
https://www.lazada.vn/products/giay-nhua-di-mua-di-bien-nu-chat-lieu-nhua-sieu-nhe-em-chan-nhieu-mau-i2343621654-s11398308288.html,4.9,34,79000,45100,VND,HTSPORTS,0.97,100%,80%,2343621654_VNAMZ-11398308288,2343621654,"[""100% chính hãng"",""Được đổi ý"",""30 ngày miễn phí trả hàng"",""Không áp dụng chính sách bảo hành""]",TRUE,HT SPORTS,TRUE,https://www.lazada.vn/shop/htsports/?itemId=2343621654&channelSource=pdp,TRUE,https://www.lazada.vn,95,4284500
https://www.lazada.vn/products/giay-nhua-di-mua-form-chuan-sieu-em-sieu-nhe-thoang-khi-ben-dep-di-choi-di-lam-i2280657982-s11032993548.html,5,35,139000,66202,VND,HTSPORTS,0.97,100%,80%,2280657982_VNAMZ-11032993548,2280657982,"[""100% chính hãng"",""Được đổi ý"",""30 ngày miễn phí trả hàng"",""Không áp dụng chính sách bảo hành""]",TRUE,HT SPORTS,TRUE,https://www.lazada.vn/shop/htsports/?itemId=2280657982&channelSource=pdp,TRUE,https://www.lazada.vn,117,7745634
https://www.lazada.vn/products/giay-nhua-di-mua-form-chuan-sieu-em-sieu-nhe-thoang-khi-ben-dep-di-choi-di-lam-i2280657982-s11032993555.html,5,35,139000,66202,VND,HTSPORTS,0.97,100%,80%,2280657982_VNAMZ-11032993555,2280657982,"[""100% chính hãng"",""Được đổi ý"",""30 ngày miễn phí trả hàng"",""Không áp dụng chính sách bảo hành""]",TRUE,HT SPORTS,TRUE,https://www.lazada.vn/shop/htsports/?itemId=2280657982&channelSource=pdp,TRUE,https://www.lazada.vn,117,7745634
https://www.lazada.vn/products/giay-nhua-di-mua-form-chuan-sieu-em-sieu-nhe-thoang-khi-ben-dep-di-choi-di-lam-i2280657982-s11032993550.html,5,35,139000,68335,VND,HTSPORTS,0.97,100%,80%,2280657982_VNAMZ-11032993550,2280657982,"[""100% chính hãng"",""Được đổi ý"",""30 ngày miễn phí trả hàng"",""Không áp dụng chính sách bảo hành""]",TRUE,HT SPORTS,TRUE,https://www.lazada.vn/shop/htsports/?itemId=2280657982&channelSource=pdp,TRUE,https://www.lazada.vn,117,7995195
https://www.lazada.vn/products/giay-nhua-di-mua-form-chuan-sieu-em-sieu-nhe-thoang-khi-ben-dep-di-choi-di-lam-i2280657982-s11032993554.html,5,35,139000,68335,VND,HTSPORTS,0.97,100%,80%,2280657982_VNAMZ-11032993554,2280657982,"[""100% chính hãng"",""Được đổi ý"",""30 ngày miễn phí trả hàng"",""Không áp dụng chính sách bảo hành""]",TRUE,HT SPORTS,TRUE,https://www.lazada.vn/shop/htsports/?itemId=2280657982&channelSource=pdp,TRUE,https://www.lazada.vn,117,7995195
