url,id,sold,rating,reviews,initial_price,final_price,currency,stock,favorite,shop_url,seller_rating,seller_products,seller_chats_responded_percentage,seller_chat_time_reply,seller_joined_date,seller_followers,domain,brand,category_id,flash_sale,is_available,seller_id
https://shopee.vn/Soundcore-Tai-Nghe-Nh%C3%A9t-Tai-anker-liberty-4-nc-bluetooth-5.3-anc-Kh%C3%B4ng-D%C3%A2y-tws-Pin-S%E1%BA%A1c-50h-i.1063747560.19486210494?model_id=184741515876,19486210494,586,4.94,374,2590000,1990000,VND,29,123,https://shopee.vn/ankerglobal.vn,4.86,49,93,3.64 hours,Wed Aug 30 2023 10:51:51 GMT+0000 ,5873,https://shopee.vn,ANKER,100535,FALSE,TRUE,1063747560
https://shopee.vn/BOOM-c%E1%BA%B7p-%C4%91i-h%E1%BB%8Dc-balo-nam-balo-du-li%CC%A3ch-balo-%C4%91i-h%E1%BB%8Dc-nam-balo-2023-new-L95S23R-i.1010344903.22248695055?model_id=204445159070,22248695055,2516,4.58,1028,215000,134500,VND,500,1326,https://shopee.vn/novan05.vn,4.65,9929,100,0.00 hours,Thu Jun 01 2023 12:23:49 GMT+0000 ,9874,https://shopee.vn,,100016,TRUE,TRUE,1010344903
https://shopee.vn/17km-V%C3%B2ng-C%E1%BB%95-B%E1%BA%A1c-N%E1%BB%AF-%C4%90%C3%A1-m%E1%BA%B7t-tr%C4%83ng-Thanh-L%E1%BB%8Bch-Zircon-Ng%E1%BB%8Dc-Trai-Tua-Rua-D%C3%A2y-X%C3%ADch-Choker-Cho-Trang-S%E1%BB%A9c-Ph%E1%BB%A5-Ki%E1%BB%87n-i.203459576.24474180373?model_id=185029416745,24474180373,406,4.75,158,15857,11100,VND,298692,1097,https://shopee.vn/vip17km.vn,4.8,1207,100,0.00 hours,Wed Nov 27 2019 04:01:44 GMT+0000 ,262605,https://shopee.vn,17KM,100009,FALSE,TRUE,203459576
https://shopee.vn/K%C3%ADnh-C%C6%B0%E1%BB%9Dng-L%E1%BB%B1c-Iphone-Ch%E1%BB%91ng-Nh%C3%ACn-Tr%E1%BB%99m-c%C3%B3-Khung-T%E1%BB%B1-D%C3%A1n-KINGKONG-6-7-8-x-xs-xr-11-12-13-14-pro-max-plus-CNT-KINGKONG--i.380880893.23937718769?model_id=146797651134,23937718769,2763,4.49,964,30000,16500,VND,3600,76,https://shopee.vn/avamax.store,4.66,156,97,1.42 hours,Sat Jan 30 2021 10:22:37 GMT+0000 ,5585,https://shopee.vn,,100013,TRUE,TRUE,380880893
https://shopee.vn/K%C3%ADnh-c%C6%B0%E1%BB%9Dng-l%E1%BB%B1c-iphone-full-m%C3%A0n-KK-baiko-iphone-15-6-7-8-7plus-8plus-xs-xsmax-11-12-13-14-15-pro-plus-promax-max-i.405987583.15098255821?model_id=222102227362,15098255821,3222,4.66,1574,15000,9000,VND,271395,97,https://shopee.vn/lala17.shop,4.7,171,98,4.81 hours,Thu Mar 18 2021 11:09:55 GMT+0000 ,118707,https://shopee.vn,,100013,TRUE,TRUE,405987583
https://shopee.vn/%E1%BB%90p-%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Da-Cao-C%E1%BA%A5p-Sang-Tr%E1%BB%8Dng-Cho-iphone-15-promax-14-Promax-11-12-13-Promax-Xs-Max-C%C3%93-4-M%C3%80U(-M02)-i.1127076220.25152393077?model_id=245063375846,25152393077,5,4.7,0,89000,64080,VND,30,0,https://shopee.vn/ygzx7dqbqa,4.85,39,100,1.01 hours,Sun Nov 26 2023 02:03:48 GMT+0000 ,752,https://shopee.vn,Apple,100013,TRUE,,
https://shopee.vn/Heartbuds-Tai-nghe-lo%E1%BA%A1i-b%E1%BB%8F-ti%E1%BA%BFng-%E1%BB%93n-trong-tai-t%C3%ACnh-y%C3%AAu-th%E1%BA%BF-h%E1%BB%87-th%E1%BB%A9-hai-Bluetooth5.3-kh%C3%B4ng-d%C3%A2y-h%C3%ACnh-tr%C3%A1i-tim-ph%E1%BB%95-bi%E1%BA%BFn-cho-Apple-v%C3%A0-Android-i.931408338.24573090690?model_id=197421929757,24573090690,12,5,5,248333,145000,VND,20,0,https://shopee.vn/nobodyknows.vn,4.86,198,99,1.85 hours,Tue Jan 03 2023 11:26:53 GMT+0000 ,1141,https://shopee.vn,,100535,TRUE,,
https://shopee.vn/B%E1%BB%99-%C4%91%C3%A8n-x%C3%B4ng-tinh-d%E1%BA%A7u-%C4%91u%E1%BB%95i-mu%E1%BB%97i-c%C3%B4n-tr%C3%B9ng-Strong-Baby-Minh-House-Care-Thi%C3%AAn-nhi%C3%AAn-i.345194150.29600271509?model_id=185109234616,29600271509,282,4.77,132,24000,12800,VND,70,28,https://shopee.vn/minhhouse_care,4.85,45,100,2.36 hours,Thu Nov 26 2020 02:02:01 GMT+0000 ,1577,https://shopee.vn,MINH HOUSE,100636,TRUE,TRUE,345194150
https://shopee.vn/M%C3%A1y-S%E1%BA%A5y-Gi%C3%A0y-%C4%90a-N%C4%83ng-MUSELOVE-Kh%E1%BB%AD-M%C3%B9i-Th%C3%B4ng-Minh-L%C3%A0m-Kh%C3%B4-Tia-UV-Di%E1%BB%87t-99-Vi-Khu%E1%BA%A9n-MSG01-i.720629048.29960178450?model_id=215424906893,29960178450,122,4.93,42,917000,459000,VND,1985,40,https://shopee.vn/muselovebeauty,4.97,20,99,0.63 hours,Thu Mar 17 2022 11:17:28 GMT+0000 ,204,https://shopee.vn,MUSELOVE,100010,FALSE,TRUE,720629048
https://shopee.vn/T%C3%BAi-x%C3%A1ch-FLOWER-LOG-size-ng%E1%BA%AFn-CHAUTFIFTH-i.328820651.25564072347?model_id=250611363465,25564072347,12,4.75,4,1145000,1145000,VND,1,63,https://shopee.vn/chautfifth.official,4.85,122,98,2.19 hours,Wed Oct 28 2020 04:23:02 GMT+0000 ,82040,https://shopee.vn,CHAUTFIFTH,100016,FALSE,TRUE,328820651
